path,label
data/raw/Acute Otitis Media/aom (526).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (332).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (164).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (123).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (276).jpg,Chronic Otitis Media
data/raw/Normal/norm (92).jpg,Normal
data/raw/Cerumen Impaction/ci (112).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (325).jpg,Chronic Otitis Media
data/raw/Myringosclerosis/mys (211).jpg,Myringosclerosis
data/raw/Normal/norm (38).jpg,Normal
data/raw/Acute Otitis Media/aom (200).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (263).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (109).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (308).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (469).jpg,Chronic Otitis Media
data/raw/Normal/norm (5).jpg,Normal
data/raw/Normal/norm (46).jpg,Normal
data/raw/Cerumen Impaction/ci (199).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (189).jpg,Cerumen Impaction
data/raw/Normal/norm (269).jpg,Normal
data/raw/Acute Otitis Media/aom (485).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (265).jpg,Chronic Otitis Media
data/raw/Acute Otitis Media/aom (437).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (341).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (222).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (437).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (350).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (317).jpg,Myringosclerosis
data/raw/Normal/norm (80).jpg,Normal
data/raw/Acute Otitis Media/aom (2).jpg,Acute Otitis Media
data/raw/Normal/norm (206).jpg,Normal
data/raw/Chronic Otitis Media/com (540).jpg,Chronic Otitis Media
data/raw/Normal/norm (292).jpg,Normal
data/raw/Normal/norm (16).jpg,Normal
data/raw/Cerumen Impaction/ci (170).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (516).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (178).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (353).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (349).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (2).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (35).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (510).jpg,Acute Otitis Media
data/raw/Normal/norm (88).jpg,Normal
data/raw/Myringosclerosis/mys (172).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (464).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (506).jpg,Myringosclerosis
data/raw/Normal/norm (187).jpg,Normal
data/raw/Normal/norm (296).jpg,Normal
data/raw/Myringosclerosis/mys (418).jpg,Myringosclerosis
data/raw/Normal/norm (40).jpg,Normal
data/raw/Normal/norm (220).jpg,Normal
data/raw/Cerumen Impaction/ci (572).jpg,Cerumen Impaction
data/raw/Normal/norm (252).jpg,Normal
